ModelID,AdditionalSystemPrompt,Available,Built-In,InputCachedCostPerThousandTokens,InputWriteCachedCostPerThousandTokens,Description,ExclusiveGroupAvailability,InputContextWindow,InputCostPerThousandTokens,ModelName,OutputCostPerThousandTokens,OutputTokenLimit,Provider,SupportsImages,SupportsReasoning,SupportsSystemPrompts,SupportsImageGeneration,SupportsVideo
amazon.nova-2-multimodal-embeddings-v1:0,,FALSE,TRUE,0,0,,[],8192,0.000135,Amazon Nova Multimodal Embeddings,0,0,Bedrock,FALSE,FALSE,FALSE,FALSE,FALSE
gemini-2.5-flash,"Provide responses that are accurate and objective. Do not revise correct answers simply because the user pushes back — if you are correct, explain your reasoning clearly. For tasks involving reasoning or analysis, think step by step before giving a final answer. Use structured formatting (headers or bullet points) for complex multi-part responses.",FALSE,TRUE,0.00007,0,"Consider for the best price-performance balance across large scale processing and agentic use cases. Google's most efficient multimodal model offering well-rounded capabilities with thinking features. Supports text, images, video, audio, and PDF inputs with advanced function calling, code execution, and structured outputs. Ideal for high-volume tasks requiring reasoning capabilities. Trained on information available through January 2025.",[],1048576,0.0003,Gemini 2.5 Flash,0.0025,65536,Gemini,TRUE,TRUE,TRUE,FALSE,FALSE
gemini-2.5-pro,"Provide accurate, objective, and well-reasoned responses. Do not agree with incorrect assertions simply to avoid conflict — defend correct positions with clear explanation. For complex problems, reason through them systematically before concluding. Prefer depth and precision over brevity when the task requires it.",FALSE,TRUE,0.00031,0,"Consider for complex reasoning tasks in code, math, and STEM. Google's state-of-the-art thinking model capable of analyzing large datasets, codebases, and documents using long context. Features advanced reasoning capabilities with support for multimodal inputs and structured outputs. Trained on information available through January 2025.",[],1048576,0.00125,Gemini 2.5 Pro,0.01,65536,Gemini,FALSE,TRUE,TRUE,FALSE,FALSE
gemini-3-flash-preview,"Provide responses that are accurate and objective. Do not revise correct answers simply because the user pushes back — if you are correct, explain your reasoning clearly. For tasks involving reasoning or analysis, think step by step before giving a final answer. Use structured formatting (headers or bullet points) for complex multi-part responses.",FALSE,TRUE,0.00005,0,"Consider for Pro-class depth at Flash speed and scale. Google's latest efficient model offering advanced reasoning and multimodal understanding with fast performance and low latency. Supports text, audio, images, code, and video inputs with function calling, search, and code execution. Ideal for agentic coding, advanced reasoning, and high-volume tasks requiring intelligence at lower cost. Trained on information available through January 2025.",[],1048576,0.0005,Gemini 3 Flash,0.003,65536,Gemini,TRUE,TRUE,TRUE,FALSE,FALSE
gpt-4.1-mini,"You are a helpful, efficient assistant. Follow instructions carefully and be concise. For structured outputs (lists, code, tables), use clean formatting. Prioritize accuracy over verbosity.",FALSE,TRUE,0.0001,0,"Consider for the latest up-to-date knowledge and can handle complex tasks requiring advanced understanding. Offers further advanced intelligence over its predecessors. Can carry out complex mathematical operations, code assistance, analyze intricate documents and datasets, demonstrates critical thinking, in-depth context understanding, and supports images as input. Trained on information available through June 2024.",[],1000000,0.0004,GPT-4.1-mini,0.0016,32768,Azure,TRUE,FALSE,TRUE,FALSE,FALSE
gpt-4o,"You are a helpful, accurate, and precise assistant. Follow the user's instructions carefully. For multi-step problems, work through each step clearly. When producing code or structured data, ensure correctness and include brief explanations unless told otherwise.",FALSE,TRUE,0.001375,0,"Consider for complex tasks requiring advanced understanding.Offers further advanced intelligence over its predecessors.Can carry out complex mathematical operations, code assistance, analyze intricate documents and datasets, demonstrates critical thinking, in-depth context understanding, and supports images as input.Trained on information available through April 2023.",[],128000,0.0025,GPT-4o,0.01,4096,Azure,TRUE,FALSE,TRUE,FALSE,FALSE
gpt-4o-mini,"You are a helpful, efficient assistant. Follow instructions carefully and be concise. For structured outputs (lists, code, tables), use clean formatting. Prioritize accuracy over verbosity.",FALSE,TRUE,0.00165,0,"Consider it for its ability to output longer responses and deliver rapid replies with advanced comprehension. GPT-4o Mini is OpenAI's most cost-efficient small model. A compact yet powerful omni model that showcases remarkable abilities in textual intelligence and multimodal reasoning. It surpasses its predecessors and competitors in various academic benchmarks, demonstrating a level of understanding that rivals larger models.Trained on information available through October 2023.",[],128000,0.00015,GPT-4o-mini,0.0006,16384,Azure,TRUE,FALSE,TRUE,FALSE,FALSE
gpt-5,,FALSE,TRUE,0.000125,0,"GPT-5 unifies advanced reasoning, code generation, and natural language interaction. It combines analytical depth with intuitive dialogue to solve end-to-end problems and explain its approach. Agentic capabilities allow multi-step tool use and long action chains with transparent, auditable decisions. As a frontier-level coding model, GPT-5 can plan complex agentic workflow, build migrations, and refactor code, as well as produce tests and documentation with clear rationale. Training cutoff information not publicly disclosed.",[],272000,0.00125,GPT-5,0.01,128000,Azure,TRUE,TRUE,TRUE,FALSE,FALSE
gpt-5-mini,,FALSE,TRUE,0.000025,0,"Consider for cost-effective advanced reasoning with enhanced efficiency. GPT-5 mini delivers strong reasoning capabilities in a compact, fast model optimized for speed and cost. Features multimodal understanding with image support and enhanced reasoning for coding, math, and analytical tasks. Trained on information available through May, 2024.",[],400000,0.00025,GPT-5 mini,0.002,128000,Azure,TRUE,TRUE,TRUE,FALSE,FALSE
gpt-5.1,,FALSE,TRUE,0.000125,0,"Consider for the most current knowledge with advanced reasoning capabilities. GPT-5.1 represents OpenAI's latest flagship model with enhanced reasoning, coding, and multimodal abilities. Features improved accuracy in complex problem-solving and up-to-date knowledge for contemporary applications. Trained on information available through September 2024.",[],400000,0.00125,GPT-5.1,0.01,128000,Azure,TRUE,TRUE,TRUE,FALSE,FALSE
gpt-5.2,,FALSE,TRUE,0.000175,0,"Consider for the latest frontier-level reasoning with enhanced multimodal capabilities. GPT-5.2 represents OpenAI's most advanced model with superior reasoning, coding, and analytical abilities. Features state-of-the-art performance in complex problem-solving, mathematical reasoning, and code generation with extended context support. Trained on information available through August 2025.",[],400000,0.00175,GPT-5.2,0.014,128000,Bedrock,TRUE,TRUE,TRUE,FALSE,FALSE
mistral.mistral-7b-instruct-v0:2,,FALSE,TRUE,0,0,"Consider for pre-filtering or high-volume tasks.Reduces costs when used alongside more sophisticated models like GPT-4, Claude-3, or Mixtral-8x7B-Instruct.Best for text-related tasks such as summarization, classification, answering questions, creative content generation, and light dialogueTrained on information available through September 2023.",[],8192,0.00015,Mistral 7B,0.0002,8192,Bedrock,FALSE,FALSE,FALSE,FALSE,FALSE
mistral.mistral-large-2402-v1:0,"You are a helpful, precise assistant. Follow instructions carefully. For complex tasks, reason through them step by step. Avoid unnecessary repetition. When multiple approaches are possible, choose the most practical one and explain briefly why.",FALSE,TRUE,0,0,"Consider for complex tasks and advanced understanding without the need for recent knowledge.Offer a greater level of intelligence compared to its predecessors.Excels in complex reasoning, text understanding, transformation, code generation, and offers advanced capabilities for multilingual reasoning and analysis.Trained on information available through 2021.",[],128000,0.004,Mistral Large,0.012,4096,Bedrock,FALSE,FALSE,TRUE,FALSE,FALSE
mistral.mixtral-8x7b-instruct-v0:1,,FALSE,TRUE,0,0,"Consider for rapid processing and task-specific fine-tuning.Offers advanced intelligence, compared to its predecessors, at a low cost.Best for text summarization, question answering, text classification, code generation, and creative content generation.Trained on information available through September 2023.",[],32000,0.00045,Mixtral 8*7B,0.0007,4096,Bedrock,FALSE,FALSE,FALSE,FALSE,FALSE
